Protein,label,Y_Prob,Pred_label
HFM1_HUMAN,0.0,0.2336688,0
HFM1_HUMAN,0.0,0.4101817,0
HFM1_HUMAN,0.0,0.9435601,1
HFM1_HUMAN,0.0,0.99060845,1
HFM1_HUMAN,0.0,0.99511296,1
HFM1_HUMAN,0.0,0.99234575,1
HFM1_HUMAN,0.0,0.9826082,1
HFM1_HUMAN,0.0,0.96793044,1
HFM1_HUMAN,0.0,0.8747361,1
HFM1_HUMAN,0.0,0.8643015,1
HFM1_HUMAN,0.0,0.88428676,1
HFM1_HUMAN,0.0,0.6824351,1
HFM1_HUMAN,0.0,0.6745608,1
HFM1_HUMAN,0.0,0.37872246,0
HFM1_HUMAN,0.0,0.20647146,0
HFM1_HUMAN,0.0,0.3903329,0
HFM1_HUMAN,0.0,0.2885671,0
HFM1_HUMAN,0.0,0.17541783,0
HFM1_HUMAN,0.0,0.5424186,1
VWA8_HUMAN,0.0,0.6421346,1
VWA8_HUMAN,0.0,0.71041805,1
VWA8_HUMAN,0.0,0.9095374,1
VWA8_HUMAN,0.0,0.84984297,1
VWA8_HUMAN,0.0,0.52058834,1
VWA8_HUMAN,0.0,0.3679731,0
VWA8_HUMAN,0.0,0.46322632,0
VWA8_HUMAN,0.0,0.51519376,1
VWA8_HUMAN,0.0,0.49091125,0
VWA8_HUMAN,0.0,0.45053792,0
VWA8_HUMAN,0.0,0.9494723,1
VWA8_HUMAN,0.0,0.8853657,1
VWA8_HUMAN,0.0,0.91533524,1
VWA8_HUMAN,0.0,0.9537552,1
VWA8_HUMAN,0.0,0.90357727,1
VWA8_HUMAN,0.0,0.8069335,1
VWA8_HUMAN,0.0,0.25533584,0
VWA8_HUMAN,0.0,0.17270292,0
VWA8_HUMAN,0.0,0.11568873,0
VWA8_HUMAN,0.0,0.13234009,0
VWA8_HUMAN,0.0,0.88205457,1
VWA8_HUMAN,0.0,0.8450775,1
VWA8_HUMAN,0.0,0.6232005,1
VWA8_HUMAN,0.0,0.26822585,0
VWA8_HUMAN,0.0,0.7467551,1
VWA8_HUMAN,0.0,0.6633578,1
F221B_HUMAN,0.0,0.6631625,1
F221B_HUMAN,0.0,0.30978274,0
F221B_HUMAN,0.0,0.23062435,0
CMI2B_HUMAN,0.0,0.32383355,0
AHRR_HUMAN,0.0,0.9957561,1
AHRR_HUMAN,0.0,0.98891556,1
AHRR_HUMAN,0.0,0.95710784,1
AHRR_HUMAN,0.0,0.2517362,0
AHRR_HUMAN,0.0,0.29689303,0
AHRR_HUMAN,0.0,0.26141602,0
AHRR_HUMAN,0.0,0.4771844,0
ADAS_HUMAN,1.0,0.72103244,1
ADAS_HUMAN,1.0,0.34039775,0
ADAS_HUMAN,1.0,0.17925534,0
ADAS_HUMAN,1.0,0.17353284,0
ADAS_HUMAN,1.0,0.42317346,0
ADAS_HUMAN,1.0,0.45386165,0
ADAS_HUMAN,1.0,0.7201249,1
IKBE_HUMAN,0.0,0.20442457,0
IKBE_HUMAN,0.0,0.95668423,1
IKBE_HUMAN,0.0,0.9320574,1
IKBE_HUMAN,0.0,0.8253128,1
TAF4_HUMAN,1.0,0.5149562,1
TAF4_HUMAN,1.0,0.5334072,1
TAF4_HUMAN,1.0,0.5750679,1
TAF4_HUMAN,1.0,0.5765769,1
TAF4_HUMAN,1.0,0.928964,1
TAF4_HUMAN,1.0,0.8936016,1
TAF4_HUMAN,1.0,0.98861885,1
TAF4_HUMAN,1.0,0.99597,1
TAF4_HUMAN,1.0,0.9865871,1
TAF4_HUMAN,1.0,0.98455507,1
TAF4_HUMAN,1.0,0.9902626,1
TAF4_HUMAN,1.0,0.9672038,1
TAF4_HUMAN,1.0,0.9395047,1
ELL2_HUMAN,0.0,0.8440388,1
ELL2_HUMAN,0.0,0.5667472,1
ELL2_HUMAN,0.0,0.77924526,1
ELL2_HUMAN,0.0,0.8653089,1
ELL2_HUMAN,0.0,0.5356328,1
ELL2_HUMAN,0.0,0.4865993,0
ELL2_HUMAN,0.0,0.8455733,1
UPK2_HUMAN,1.0,0.1387945,0
BHE40_HUMAN,1.0,0.6178594,1
BHE40_HUMAN,1.0,0.7873936,1
BHE40_HUMAN,1.0,0.8129037,1
IMPA2_HUMAN,1.0,0.3191317,0
CDIPT_HUMAN,0.0,0.0013623241,0
RPC1_HUMAN,1.0,0.553985,1
RPC1_HUMAN,1.0,0.84986275,1
RPC1_HUMAN,1.0,0.7836833,1
RPC1_HUMAN,1.0,0.5286551,1
RPC1_HUMAN,1.0,0.9818319,1
RPC1_HUMAN,1.0,0.9360752,1
RPC1_HUMAN,1.0,0.9299171,1
RPC1_HUMAN,1.0,0.73504597,1
RPC1_HUMAN,1.0,0.26301193,0
RPC1_HUMAN,1.0,0.43604207,0
RPC1_HUMAN,1.0,0.7666289,1
RPC1_HUMAN,1.0,0.8630305,1
RPC1_HUMAN,1.0,0.87985724,1
RPC1_HUMAN,1.0,0.7724665,1
RPC1_HUMAN,1.0,0.8718581,1
RPC1_HUMAN,1.0,0.8512599,1
RPC1_HUMAN,1.0,0.8825932,1
RPC1_HUMAN,1.0,0.7688416,1
BACH1_HUMAN,1.0,0.5466648,1
BACH1_HUMAN,1.0,0.39652145,0
BACH1_HUMAN,1.0,0.25189206,0
BACH1_HUMAN,1.0,0.280649,0
BACH1_HUMAN,1.0,0.4397078,0
BACH1_HUMAN,1.0,0.53960407,1
BACH1_HUMAN,1.0,0.8261616,1
BACH1_HUMAN,1.0,0.85542667,1
GEMI2_HUMAN,1.0,0.3679855,0
TFEC_HUMAN,1.0,0.51278764,1
TFEC_HUMAN,1.0,0.5312713,1
PUR4_HUMAN,1.0,0.9378744,1
PUR4_HUMAN,1.0,0.6523892,1
PUR4_HUMAN,1.0,0.44702718,0
PUR4_HUMAN,1.0,0.8359269,1
PUR4_HUMAN,1.0,0.9683266,1
PUR4_HUMAN,1.0,0.8993857,1
PUR4_HUMAN,1.0,0.967997,1
PUR4_HUMAN,1.0,0.5380745,1
PUR4_HUMAN,1.0,0.29920655,0
PUR4_HUMAN,1.0,0.18035729,0
PUR4_HUMAN,1.0,0.298568,0
PUR4_HUMAN,1.0,0.5094827,1
PUR4_HUMAN,1.0,0.067493595,0
PUR4_HUMAN,1.0,0.23189701,0
PUR4_HUMAN,1.0,0.67628676,1
PUR4_HUMAN,1.0,0.85570115,1
PUR4_HUMAN,1.0,0.93857723,1
TIF1A_HUMAN,1.0,0.9898768,1
TIF1A_HUMAN,1.0,0.9717942,1
TIF1A_HUMAN,1.0,0.9827519,1
TIF1A_HUMAN,1.0,0.92092985,1
TIF1A_HUMAN,1.0,0.866476,1
TIF1A_HUMAN,1.0,0.96721566,1
TIF1A_HUMAN,1.0,0.73262656,1
TIF1A_HUMAN,1.0,0.79580045,1
TIF1A_HUMAN,1.0,0.69076735,1
TIF1A_HUMAN,1.0,0.7104453,1
TIF1A_HUMAN,1.0,0.93127143,1
TIF1A_HUMAN,1.0,0.8797213,1
TIF1A_HUMAN,1.0,0.8581408,1
GNPAT_HUMAN,1.0,0.91048867,1
GNPAT_HUMAN,1.0,0.95520735,1
GNPAT_HUMAN,1.0,0.9557798,1
GNPAT_HUMAN,1.0,0.48771238,0
GNPAT_HUMAN,1.0,0.28159606,0
GNPAT_HUMAN,1.0,0.19976908,0
GNPAT_HUMAN,1.0,0.60916305,1
SURF4_HUMAN,1.0,0.27520987,0
EIF3D_HUMAN,1.0,0.4857155,0
EIF3D_HUMAN,1.0,0.7715503,1
EIF3D_HUMAN,1.0,0.98774636,1
EIF3D_HUMAN,1.0,0.8416074,1
EIF3D_HUMAN,1.0,0.40405023,0
MOT5_HUMAN,0.0,0.00022541118,0
MOT5_HUMAN,0.0,0.00034440897,0
MOT5_HUMAN,0.0,0.0002790507,0
MOT5_HUMAN,0.0,5.5451423e-05,0
FOXP2_HUMAN,1.0,0.83155483,1
FOXP2_HUMAN,1.0,0.9081361,1
FOXP2_HUMAN,1.0,0.95373863,1
FOXP2_HUMAN,1.0,0.9069719,1
FOXP2_HUMAN,1.0,0.7812098,1
FOXP2_HUMAN,1.0,0.97400993,1
FOXP2_HUMAN,1.0,0.9653948,1
FOXP2_HUMAN,1.0,0.9010639,1
MAGB4_HUMAN,1.0,0.1577363,0
MAGB4_HUMAN,1.0,0.18041348,0
SGSM2_HUMAN,0.0,0.76770294,1
SGSM2_HUMAN,0.0,0.2992654,0
SGSM2_HUMAN,0.0,0.8230212,1
SGSM2_HUMAN,0.0,0.5326468,1
SGSM2_HUMAN,0.0,0.2913599,0
SGSM2_HUMAN,0.0,0.35695794,0
SGSM2_HUMAN,0.0,0.2554269,0
SGSM2_HUMAN,0.0,0.29045087,0
SGSM2_HUMAN,0.0,0.51980054,1
SGSM2_HUMAN,0.0,0.43933555,0
SGSM2_HUMAN,0.0,0.34378088,0
SGSM2_HUMAN,0.0,0.40047428,0
ZBT24_HUMAN,0.0,0.9531752,1
ZBT24_HUMAN,0.0,0.37105396,0
ZBT24_HUMAN,0.0,0.5425006,1
ZBT24_HUMAN,0.0,0.28632954,0
ZBT24_HUMAN,0.0,0.15522626,0
ZBT24_HUMAN,0.0,0.5379021,1
ZBT24_HUMAN,0.0,0.8213047,1
GPR39_HUMAN,0.0,0.35799423,0
GPR39_HUMAN,0.0,0.6065353,1
GPR39_HUMAN,0.0,0.07912745,0
GPR39_HUMAN,0.0,0.24427587,0
TGM5_HUMAN,0.0,0.11790632,0
TGM5_HUMAN,0.0,0.06242212,0
TGM5_HUMAN,0.0,0.07669881,0
TGM5_HUMAN,0.0,0.06913413,0
TGM5_HUMAN,0.0,0.018086273,0
TGM5_HUMAN,0.0,0.03326289,0
TGM5_HUMAN,0.0,0.20687889,0
TGM5_HUMAN,0.0,0.3018364,0
FRS3_HUMAN,1.0,0.7700273,1
FRS3_HUMAN,1.0,0.7141545,1
FRS3_HUMAN,1.0,0.67404723,1
FRS3_HUMAN,1.0,0.48547938,0
ZN207_HUMAN,1.0,0.1345172,0
ZN207_HUMAN,1.0,0.40327543,0
ZN207_HUMAN,1.0,0.09691512,0
ZN207_HUMAN,1.0,0.45450598,0
BUB3_HUMAN,1.0,0.9101352,1
